show_name,show_theater,show_type,num_of_attendance,capacity_filled,revenue,percentage_of_poss_profit,num_of_performances
Bullets Over Broadway,St. James,Musical,226497,0.7383333333333333,18176367,0.5129166666666667,156
Burn The Floor,Longacre,Musical,145582,0.7288,9285678,0.4996,185
Butley,Booth,Play,74286,0.8333333333333333,5424237,0.7240000000000001,94
Buttons On Broadway,Ambassador,Special,1684,0.25,27020,0.09,3
By Jeeves,Helen Hayes,Musical,35902,0.7081818181818181,2090954,0.5154545454545455,73
Bye Bye Birdie,Henry Miller (Rndabt),Musical,152597,0.948,11485459,0.5885,117
Cabaret '14,Studio 54,Musical,350148,0.9296296296296296,41150028,0.7764814814814816,388
Cabaret 98,Kit Kat Klub,Musical,1919198,0.911546052631579,119389439,0.7519407894736843,2377
Cabaret 98,Studio 54 ('98),Musical,1919198,0.911546052631579,119389439,0.7519407894736843,2377
Candide,Gershwin,Musical,146016,0.6793333333333333,5065916,0.18733333333333335,104
"Caroline, Or Change",Eugene O'Neill,Musical,120494,0.722,7527718,0.5045000000000001,136
Casa Valentina,Friedman,Play,54116,0.8146153846153846,3028464,0.40692307692307694,79
Cat On A Hot Tin Roof '12,Richard Rodgers,Play,120057,0.7366666666666667,11661203,0.6073333333333334,84
Cat On A Hot Tin Roof 03,Music Box,Play,124967,0.7109090909090909,8898242,0.6968181818181819,145
Cat On A Hot Tin Roof 08,Broadhurst,Play,162346,0.9152631578947369,12603337,0.8521052631578948,125
Catch Me If You Can,Neil Simon,Musical,242671,0.8623076923076922,16863570,0.5153846153846154,166
Cats,Winter Garden,Musical,2290852,0.7696015936254981,106573965,0.41079681274900404,2008
Cats 2016,Neil Simon,Musical,43019,0.9520000000000001,4404457,0.7859999999999999,17
Chaplin,Ethel Barrymore,Musical,118148,0.71,8518390,0.43799999999999994,135
Chicago,Richard Rodgers,Musical,8123328,0.8230910852713178,560575239,0.6453197674418605,8202
Chicago,Shubert,Musical,8123328,0.8230910852713178,560575239,0.6453197674418605,8202
Chicago,Ambassador,Musical,8123328,0.8230910852713178,560575239,0.6453197674418605,8202
China Doll,Schoenfeld,Play,86727,0.8613333333333334,12630662,0.8773333333333333,54
Chinglish,Longacre,Play,72385,0.523125,4325401,0.310625,109
Chita Rivera: The Dancer'S Life,Schoenfeld,Musical,57822,0.5876923076923076,3563420,0.41692307692307695,72
Chitty Chitty Bang Bang,Hilton Theatre,Musical,426915,0.7463414634146343,27509505,0.5704878048780487,285
Chronicle Of A Death Foretold,Plymouth,Musical,4973,0.61,103769,0.54,0
Cinderella,Broadway,Musical,1039923,0.7440196078431373,88166620,0.5727450980392157,769
Cirque Dreams: Jungle Fantasy,Broadway,Special,92789,0.665,5166140,0.507,70
Closer,Music Box,Play,131326,0.6895833333333333,5318897,0.5454166666666667,172
Clybourne Park,Walter Kerr,Play,133198,0.7617391304347827,8767402,0.44608695652173913,157
Colin Quinn - An Irish Wake,Helen Hayes,Play,6542,0.4625,241753,0.4175,22
Colin Quinn: Long Story Short,Helen Hayes,Play,53090,0.583,3075662,0.366,135
Collected Stories,Friedman,Play,32239,0.65,1348639,0.297,54
"Come Back, Little Sheba",Biltmore,Play,37416,0.6718181818181819,2052427,0.41727272727272724,58
Come Fly Away,Marquis,Musical,218299,0.6362962962962962,18368158,0.4548148148148148,188
Company 06,Ethel Barrymore,Musical,179752,0.6117142857142857,12312349,0.4717142857142857,246
Company 95,Criterion,Musical,3493,1,173012,0.73,0
Constellations,Friedman,Play,66543,0.9723076923076923,6642180,0.6915384615384617,76
Contact,Vivian Beaumont,Musical,931293,0.8396946564885497,60218526,0.703969465648855,1010
Copenhagen,Royale,Play,263203,0.7052272727272727,11570839,0.573409090909091,326
Coram Boy,Imperial,Play,33065,0.49166666666666664,1602370,0.2816666666666667,30
Cry Baby,Marquis,Musical,120932,0.6926666666666667,4077104,0.382,68
Curtains,Al Hirschfeld,Musical,582455,0.7620588235294118,43628368,0.6038235294117648,511
Cymbeline,Vivian Beaumont,Play,41739,0.54,2080001,0.315,40
Cyrano De Bergerac,Richard Rodgers,Play,93392,0.9009090909090909,8098290,0.979090909090909,56
Cyrano De Bergerac '12,American Airlines,Play,45837,0.7454545454545455,2369149,0.3190909090909091,52
Dame Edna:  Back With A Vengeance,Music Box,Play,110199,0.6119230769230769,7021853,0.5130769230769231,163
Dame Edna: The Royal Tour,Booth,Play,203582,0.7916666666666667,9815693,0.825,297
Dames At Sea,Helen Hayes,Musical,45367,0.67,2540354,0.306,85
Dance Of Death,Broadhurst,Play,108898,0.6788235294117646,5426431,0.5147058823529411,108
Dance Of The Vampires,Minskoff,Musical,156118,0.8006666666666666,9431254,0.5553333333333333,56
Dead Accounts,Music Box,Play,39768,0.5566666666666666,3089827,0.35444444444444445,44
Death Of A Salesman '12,Ethel Barrymore,Play,110550,0.9875,12868982,0.930625,78
Death Of A Salesman 99,Eugene O'Neill,Play,293385,0.925,15190655,0.877,274
Def Poetry Jam,Longacre,Play,99641,0.4218518518518518,3377597,0.32666666666666666,198
Defending The Caveman,Helen Hayes,Play,221777,0.7484415584415585,8314428,0.013636363636363636,467
Defending The Caveman,Booth,Play,221777,0.7484415584415585,8314428,0.013636363636363636,467
Democracy,Brooks Atkinson,Play,124982,0.62875,7091677,0.4345833333333334,173
Design For Living 01,American Airlines,Play,60606,0.83,2984209,0.6907692307692308,69
Desire Under The Elms,St. James,Play,26397,0.39333333333333337,1381950,0.215,32
Deuce,Music Box,Play,86895,0.5842105263157894,5361739,0.42473684210526313,121
Dinner At Eight,Vivian Beaumont,Play,61990,0.763,2606844,0.473,45
Dirty Blonde,Helen Hayes,Play,163977,0.745531914893617,7925422,0.5974468085106382,352
Dirty Rotten Scoundrels,Imperial,Musical,808025,0.8489156626506024,58033865,0.736987951807229,627
Disaster!,Nederlander,Musical,70701,0.5684615384615385,4293431,0.2976923076923077,72
Disgraced,Lyceum,Play,114762,0.7152173913043478,8534968,0.4978260869565217,149
Dividing The Estate,Booth,Play,51037,0.81,2796827,0.5427272727272727,50
Doctor Zhivago,Broadway,Musical,54370,0.7628571428571429,3197457,0.43142857142857144,23
Don'T Dress For Dinner,American Airlines,Play,48420,0.7175,2130070,0.28,61
Donny & Marie: A Broadway Christmas,Marquis,Special,24979,0.765,2843463,0.6875,20
Doubt,Walter Kerr,Play,406085,0.798840579710145,27656473,0.7275362318840579,525
Dr. Seuss' How The Grinch Stole Christmas!,Hilton Theatre,Musical,189320,0.7972727272727274,13343784,0.7063636363636364,107
Dr. Seuss' How The Grinch Stole Christmas! 07,St. James,Musical,133583,0.6933333333333332,9559565,0.5722222222222222,96
"Dracula, The Musical",Belasco,Musical,106028,0.5821739130434783,6109526,0.4673913043478261,157
Dream: The Johnny Mercer Musical,Royale,Musical,84598,0.6158823529411764,3311853,0.09588235294117647,109
Driving Miss Daisy,Golden,Play,131694,0.8185185185185184,13586627,0.7185185185185184,180
Drowning Crow,Biltmore,Play,33799,0.679,1619255,0.46799999999999997,54
Eclipsed,Golden,Play,77911,0.7217647058823529,5744145,0.42411764705882354,121
Elaine Stritch At Liberty,Neil Simon,Musical,84481,0.79625,5000248,0.735625,69
Electra,Ethel Barrymore,Play,108893,0.7577777777777777,4629683,0.6816666666666668,116
Elf,Al Hirschfeld,Musical,91840,0.8977777777777777,10335917,0.7866666666666667,57
Elf '12,Al Hirschfeld,Musical,85472,0.8155555555555556,8156846,0.5988888888888888,74
Elling,Ethel Barrymore,Play,20665,0.6325,686837,0.1975,9
Enchanted April,Belasco,Play,85013,0.49,3492109,0.3119047619047619,143
End Of The Rainbow,Belasco,Play,99053,0.5690909090909091,6856068,0.38272727272727275,160
Enron,Broadhurst,Play,27431,0.612,1489074,0.294,16
Epic Proportions,Helen Hayes,Play,36214,0.506,1317751,0.29133333333333333,93
Equus,Broadhurst,Play,140597,0.6673913043478261,11962267,0.5886956521739131,156
Eugene Onegin,Martin Beck,Special,4047,0.44,97542,0.24,7
Everyday Rapture,American Airlines,Musical,53366,0.75,2358299,0.3016666666666667,85
Evita,Marquis,Musical,474853,0.815,52678175,0.7019565217391305,337
Exit The King,Ethel Barrymore,Play,96429,0.8113333333333334,6703380,0.5920000000000001,93
Faith Healer,Booth,Play,99297,0.936470588235294,7583448,0.8458823529411765,117
Fela!,Eugene O'Neill,Musical,428660,0.8368253968253968,31991438,0.589047619047619,463
Fela! '12,Al Hirschfeld,Musical,28741,0.655,1461335,0.32,28
Festen,Music Box,Play,35065,0.5155555555555555,1853946,0.3377777777777778,49
Fiddler On The Roof 04,Minskoff,Musical,959006,0.6946601941747573,57635884,0.5280582524271845,781
